Recipe Name,Recipe Id,Ingredient Title,subtitle,ingredient,supcs,cuisine
"Hot Crab, Spinach and Artichoke Dip",33089,,,18 ounces Wholesome Farms cream cheese loaf,1012566,American
"Hot Crab, Spinach and Artichoke Dip",33089,,,1 ½ cup Wholesome Farms heavy cream,"2592525, 4828802, 5025329, 5065335, 6935464, 7069854, 7166518",American
"Hot Crab, Spinach and Artichoke Dip",33089,,,1 ounce Imperial Fresh peeled garlic,"0077172, 1821537",American
"Hot Crab, Spinach and Artichoke Dip",33089,,,2 ½ pounds Arrezzio Imperial artichoke heart long stems Italian,7880933,American
"Hot Crab, Spinach and Artichoke Dip",33089,,,30 ounces Sysco Classic spinach chopped Iqf,2282234,American
"Hot Crab, Spinach and Artichoke Dip",33089,,,8 ounces whole roasted red pepper,7048032,American
"Hot Crab, Spinach and Artichoke Dip",33089,,,3 ounces Arrezzio Imperial cheese parmesan & Romano,2389278,American
"Hot Crab, Spinach and Artichoke Dip",33089,,,½ ounces Sysco Classic salt kosher flake coarse,6040760,American
"Hot Crab, Spinach and Artichoke Dip",33089,,,¼ ounce Sysco Classic spice pepper black ground,5331048,American
"Hot Crab, Spinach and Artichoke Dip",33089,,,2 ¼ pounds crab meat backfin lump,6212815,American
Mediterranean Pollock with Cheesy Polenta,33090,,,1 ½ pounds Portico Classic pollock fillet skinless boneless 4- 6 ounce Chinese,1956804,Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,4 ounces Arrezzio Classic garlic spread,5975016,Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,3 ounces Azzezzio Imperial shredded asiago cheese,1956804,Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,16 ounces Imperial Fresh mixed tomato medley,3342965,Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,1 ounce Imperial Fresh whole peeled shallots,"1821529, 2415859, 9582545",Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,1 ounce black garlic cloves,2539029,Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,¼ ounces tarragon herb,"2004992, 2004968, 2004976, 7193220",Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,⅓ ounces Imperial Fresh parlsey italian herb,"1814013, 2058907, 2058972, 2219111, 4509543, 6831515, 7410723",Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,½ each Reliance Fresh lemon,"2252138, 2445781, 2252013, 2252039, 2252054, 2252070, 2252088, 2252138",Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,1 fluid ounce Arrezzio Imperial oil olive extra virgin,"4477941, 4477962, 5846714, 7064341, 7141728, 7141804",Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,10 ounces Imperial Fresh baby kale,7078370,Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,3 ½ ounces Italian style polenta grain specialty,3746880,Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,2 ounces Wholesome Farms unsalted butter solid minimim butterfat European,"3030117, 3029438, 3031438",Mediterranean
Mediterranean Pollock with Cheesy Polenta,33090,,,2 ounces Arrezzio Imperial parmesan cheese dry grated,"2039964, 4061558, 4066845, 1060771, 2389278",Mediterranean
King Salmon with King Trumpet Mushrooms,33088,,,3 each oyster shell fresh gulf USA,"4242501, 4242448, 7075430, 5057282, 7158016, 4242501, 0870453",Japanese
King Salmon with King Trumpet Mushrooms,33088,,,.5 each Reliance Fresh lemon,"2252138, 2445781, 2252013, 2252039, 2252054, 2252070, 2252088, 2252138",Japanese
King Salmon with King Trumpet Mushrooms,33088,,,.25 ounces crisp spicy chili paste,7200846,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,6 ounces king wild salmon,"0846481, 1088776, 0845745, 7167353, 0606269, 6753933",Japanese
King Salmon with King Trumpet Mushrooms,33088,,,.5 ounces oyster sauce,4063103,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,1 fluid ounce wine cooking sake sweet Mirin,9546235,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,2 fluid ounces olive oil canola evoo 75/25,"4477941, 4477962, 5846714, 7064341, 7141728, 7141804",Japanese
King Salmon with King Trumpet Mushrooms,33088,,,2 ounces Imperial Fresh mushroom trumpet,1396977,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,4 ounces Sysco Classic green pea grade A,1259530,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,1 ounce Sysco International Imperial Bean Lentil Red Chief,3639309,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,1 ounce carrots,1403575,Japanese
